index,tools_prediction,ground_truth
0,"[""CommunityArea""]",['Community_Area']
1,"[""CommunityArea"", ""District""]",['Community_Area']
2,"[""CommunityArea"", ""District""]",['Community_Area']
3,"[""CommunityArea""]",['Community_Area']
4,"[""District""]",['District']
5,"[""District""]",['District']
6,"[""Neighborhood"", ""CommunityArea""]","['Community_Area', 'Neighborhood']"
7,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', '(', 'Neighborhood']"
8,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
9,"[""Neighborhood"", ""CommunityArea""]","['Community_Area', 'Neighborhood']"
10,"[""Crime"", ""District""]","['Crime', 'District']"
11,"[""CommunityArea"", ""Crime"", ""District""]","['Crime', 'District']"
12,"[""District"", ""Crime""]","['Crime', 'District']"
13,"[""Crime"", ""District""]","['Crime', 'District']"
14,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
15,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
16,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
17,"[""Crime"", ""District""]","['Crime', 'District']"
18,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
19,"[""Crime"", ""District""]","['Crime', 'District']"
20,"[""CommunityArea""]",['Community_Area']
21,"[""District""]",['District']
22,"[""Crime"", ""District""]","['Crime', 'District']"
23,"[""Crime""]","['Crime', 'District']"
24,"[""Crime"", ""District""]","['Crime', 'District']"
25,"[""Crime""]","['Crime', 'IUCR']"
26,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
27,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
28,"[""Crime"", ""CommunityArea"", ""IUCR""]","['Crime', 'Community_Area', 'IUCR']"
29,"[""Crime"", ""Ward""]","['Ward', 'Crime']"
30,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
31,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
32,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
33,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
34,"[""CommunityArea"", ""Crime"", ""IUCR""]","['Crime', 'Community_Area', 'IUCR']"
35,"[""CommunityArea"", ""Crime"", ""FBICode""]","['Crime', 'Community_Area', 'FBI_Code']"
36,"[""Crime""]",['Crime']
37,"[""CommunityArea""]",['Community_Area']
38,"[""Crime""]",['Crime']
39,"[""CommunityArea""]",['Community_Area']
