index,verdict
0,EQUIVALENT
1,EQUIVALENT
2,EQUIVALENT
3,EQUIVALENT
4,EQUIVALENT
5,EQUIVALENT
6,EQUIVALENT
7,EQUIVALENT
8,SQL-WRONG
9,EQUIVALENT
10,EQUIVALENT
11,EQUIVALENT
12,EQUIVALENT
13,NOT-EQUIVALENT
14,EQUIVALENT
15,EQUIVALENT
16,EQUIVALENT
17,EQUIVALENT
18,EQUIVALENT
19,EQUIVALENT
20,EQUIVALENT
21,EQUIVALENT
22,EQUIVALENT
23,EQUIVALENT
24,EQUIVALENT
25,EQUIVALENT
26,EQUIVALENT
27,EQUIVALENT
28,EQUIVALENT
29,EQUIVALENT
30,EQUIVALENT
31,EQUIVALENT
32,EQUIVALENT
33,EQUIVALENT
34,EQUIVALENT
35,EQUIVALENT
36,EQUIVALENT
37,EQUIVALENT
38,EQUIVALENT
39,NOT-EQUIVALENT
40,EQUIVALENT
41,EQUIVALENT
42,EQUIVALENT
43,EQUIVALENT
44,EQUIVALENT
45,EQUIVALENT
46,EQUIVALENT
47,EQUIVALENT
48,EQUIVALENT
49,EQUIVALENT
50,EQUIVALENT
51,EQUIVALENT
52,EQUIVALENT
53,EQUIVALENT
54,EQUIVALENT
55,EQUIVALENT
56,EQUIVALENT
57,EQUIVALENT
58,EQUIVALENT
59,EQUIVALENT
60,EQUIVALENT
61,EQUIVALENT
62,EQUIVALENT
63,EQUIVALENT
64,EQUIVALENT
65,EQUIVALENT
66,NOT-EQUIVALENT
67,EQUIVALENT
68,EQUIVALENT
69,EQUIVALENT
70,EQUIVALENT
71,EQUIVALENT
72,EQUIVALENT
73,EQUIVALENT
74,EQUIVALENT
75,EQUIVALENT
76,EQUIVALENT
77,EQUIVALENT
78,EQUIVALENT
79,EQUIVALENT
80,EQUIVALENT
81,EQUIVALENT
82,EQUIVALENT
83,EQUIVALENT
84,EQUIVALENT
85,EQUIVALENT
86,EQUIVALENT
87,EQUIVALENT
88,EQUIVALENT
89,EQUIVALENT
90,EQUIVALENT
91,EQUIVALENT
92,EQUIVALENT
93,EQUIVALENT
94,EQUIVALENT
95,EQUIVALENT
96,EQUIVALENT
97,EQUIVALENT
98,EQUIVALENT
99,EQUIVALENT
100,EQUIVALENT
101,EQUIVALENT
102,EQUIVALENT
103,EQUIVALENT
104,EQUIVALENT
105,EQUIVALENT
106,EQUIVALENT
107,EQUIVALENT
108,EQUIVALENT
109,EQUIVALENT
110,EQUIVALENT
111,EQUIVALENT
112,EQUIVALENT
113,EQUIVALENT
114,NOT-EQUIVALENT
115,EQUIVALENT
116,EQUIVALENT
117,EQUIVALENT
118,EQUIVALENT
119,EQUIVALENT
120,EQUIVALENT
121,EQUIVALENT
122,EQUIVALENT
123,EQUIVALENT
124,EQUIVALENT
125,EQUIVALENT
126,EQUIVALENT
127,EQUIVALENT
128,EQUIVALENT
129,EQUIVALENT
130,EQUIVALENT
131,EQUIVALENT
132,EQUIVALENT
133,EQUIVALENT
134,EQUIVALENT
135,EQUIVALENT
136,EQUIVALENT
137,EQUIVALENT
138,NOT-EQUIVALENT
139,EQUIVALENT
140,EQUIVALENT
141,NOT-EQUIVALENT
142,EQUIVALENT
143,EQUIVALENT
144,NOT-EQUIVALENT
145,EQUIVALENT
146,EQUIVALENT
147,EQUIVALENT
148,EQUIVALENT
149,EQUIVALENT
150,EQUIVALENT
151,EQUIVALENT
152,EQUIVALENT
153,EQUIVALENT
154,NOT-EQUIVALENT
155,EQUIVALENT
156,EQUIVALENT
157,EQUIVALENT
158,EQUIVALENT
159,EQUIVALENT
160,EQUIVALENT
161,EQUIVALENT
162,EQUIVALENT
163,NOT-EQUIVALENT
164,EQUIVALENT
165,EQUIVALENT
166,EQUIVALENT
167,EQUIVALENT
168,EQUIVALENT
169,EQUIVALENT
170,EQUIVALENT
171,EQUIVALENT
172,EQUIVALENT
173,EQUIVALENT
174,EQUIVALENT
175,EQUIVALENT
176,EQUIVALENT
177,EQUIVALENT
178,EQUIVALENT
179,EQUIVALENT
180,EQUIVALENT
181,EQUIVALENT
182,EQUIVALENT
183,EQUIVALENT
184,EQUIVALENT
185,EQUIVALENT
186,EQUIVALENT
187,EQUIVALENT
