index,tools_prediction,ground_truth
0,"[""Community_Area""]",['Community_Area']
1,"[""Community_Area"", ""District""]",['Community_Area']
2,"[""Community_Area"", ""District""]",['Community_Area']
3,"[""Community_Area""]",['Community_Area']
4,"[""District"", ""Crime""]",['District']
5,"[""District""]",['District']
6,"[""Neighborhood"", ""Community_Area""]","['Neighborhood', 'Community_Area']"
7,"[""Community_Area"", ""Neighborhood""]","['Neighborhood', '(', 'Community_Area']"
8,"[""Community_Area"", ""Neighborhood""]","['Neighborhood', 'Community_Area']"
9,"[""Community_Area"", ""Neighborhood""]","['Neighborhood', 'Community_Area']"
10,"[""Crime"", ""District""]","['Crime', 'District']"
11,"[""Crime"", ""District""]","['District', 'Crime']"
12,"[""Crime"", ""District""]","['District', 'Crime']"
13,"[""Crime"", ""District""]","['District', 'Crime']"
14,"[""Community_Area"", ""Crime""]","['Crime', 'Community_Area']"
15,"[""Community_Area"", ""Crime""]","['Crime', 'Community_Area']"
16,"[""Community_Area"", ""Crime""]","['Crime', 'Community_Area']"
17,"[""Crime"", ""District""]","['Crime', 'District']"
18,"[""Community_Area"", ""Crime"", ""Neighborhood""]","['Crime', 'Community_Area']"
19,"[""Crime"", ""District""]","['District', 'Crime']"
20,"[""Community_Area""]",['Community_Area']
21,"[""District""]",['District']
22,"[""Crime"", ""District""]","['Crime', 'District']"
23,"[""Crime"", ""District""]","['District', 'Crime']"
24,"[""Crime"", ""District""]","['Crime', 'District']"
25,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
26,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
27,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
28,"[""Community_Area"", ""Crime"", ""IUCR""]","['Crime', 'IUCR', 'Community_Area']"
29,"[""Crime"", ""Ward""]","['Crime', 'Ward']"
30,"[""Community_Area"", ""Neighborhood""]","['Neighborhood', 'Community_Area']"
31,"[""Community_Area"", ""Neighborhood""]","['Neighborhood', 'Community_Area']"
32,"[""Crime"", ""FBI_Code""]","['Crime', 'FBI_Code']"
33,"[""Community_Area"", ""Crime""]","['Crime', 'Community_Area']"
34,"[""Community_Area"", ""Crime"", ""IUCR""]","['Crime', 'IUCR', 'Community_Area']"
35,"[""Community_Area"", ""Crime"", ""FBI_Code""]","['Crime', 'Community_Area', 'FBI_Code']"
36,"[""Crime""]",['Crime']
37,"[""Community_Area""]",['Community_Area']
38,"[""Crime""]",['Crime']
39,"[""Community_Area""]",['Community_Area']
