index,tools_prediction,ground_truth
0,"[""CommunityArea""]",['Community_Area']
1,"[""CommunityArea"", ""District""]",['Community_Area']
2,"[""CommunityArea"", ""District""]",['Community_Area']
3,"[""CommunityArea""]",['Community_Area']
4,"[""District"", ""Crime""]",['District']
5,"[""District""]",['District']
6,"[""Neighborhood"", ""CommunityArea""]","['Neighborhood', 'Community_Area']"
7,"[""CommunityArea"", ""Neighborhood""]","['(', 'Neighborhood', 'Community_Area']"
8,"[""CommunityArea"", ""Neighborhood""]","['Neighborhood', 'Community_Area']"
9,"[""CommunityArea"", ""Neighborhood""]","['Neighborhood', 'Community_Area']"
10,"[""Crime"", ""District""]","['Crime', 'District']"
11,"[""Crime"", ""District""]","['Crime', 'District']"
12,"[""Crime"", ""District""]","['Crime', 'District']"
13,"[""Crime"", ""District""]","['Crime', 'District']"
14,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
15,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
16,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
17,"[""Crime"", ""District""]","['Crime', 'District']"
18,"[""CommunityArea"", ""Crime"", ""Neighborhood""]","['Crime', 'Community_Area']"
19,"[""Crime"", ""District""]","['Crime', 'District']"
20,"[""CommunityArea""]",['Community_Area']
21,"[""District""]",['District']
22,"[""Crime"", ""District""]","['Crime', 'District']"
23,"[""Crime"", ""District""]","['Crime', 'District']"
24,"[""Crime"", ""District""]","['Crime', 'District']"
25,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
26,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
27,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
28,"[""CommunityArea"", ""Crime"", ""IUCR""]","['Crime', 'Community_Area', 'IUCR']"
29,"[""Crime"", ""Ward""]","['Ward', 'Crime']"
30,"[""CommunityArea"", ""Neighborhood""]","['Neighborhood', 'Community_Area']"
31,"[""CommunityArea"", ""Neighborhood""]","['Neighborhood', 'Community_Area']"
32,"[""Crime"", ""FBICode""]","['FBI_Code', 'Crime']"
33,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
34,"[""CommunityArea"", ""Crime"", ""IUCR""]","['Crime', 'Community_Area', 'IUCR']"
35,"[""CommunityArea"", ""Crime"", ""FBICode""]","['FBI_Code', 'Crime', 'Community_Area']"
36,"[""Crime""]",['Crime']
37,"[""CommunityArea""]",['Community_Area']
38,"[""Crime""]",['Crime']
